"業別	國別	件數	金額-千美元"
"合計	聖文森及格瑞那丁	3	1020"
"製造業	聖露西亞	1	1100"
"木竹製品製造業	聖露西亞	1	1100"
"合計	聖露西亞	1	1100"
"機械設備製造業	宏都拉斯	2	1392"
"塑膠製品製造業	貝里斯	1	1400"
"其他運輸工具製造業	貝里斯	1	1471"
"批發及零售業	史瓦濟蘭	1	1500"
"機械設備製造業	史瓦濟蘭	2	1645"
"成衣及服飾品製造業	貝里斯	1	1660"
"塑膠製品製造業	巴拉圭	2	1900"
"電子零組件製造業	貝里斯	4	1962"
"批發及零售業	宏都拉斯	3	2095"
"食品製造業	貝里斯	1	2300"
"非金屬礦物製品製造業	巴拉圭	1	2500"
"用水供應及污染整治業	巴拉圭	1	2867"
"紡織業	海地	2	2900"
"藝術、娛樂及休閒服務業	巴拉圭	1	3000"
"成衣及服飾品製造業	宏都拉斯	6	3151"
"不動產業	尼加拉瓜	3	3850"
"機械設備製造業	貝里斯	1	4001"
"不動產業	巴拉圭	1	4500"
"非金屬礦物製品製造業	貝里斯	1	4624"
"不動產業	宏都拉斯	1	5000"
"住宿及餐飲業	尼加拉瓜	1	5000"
"農林漁牧業	尼加拉瓜	2	5189"
"化學製品製造業	巴拉圭	1	5600"
"金融及保險業	聖克里斯多福與尼維斯	1	5922"
"合計	聖克里斯多福與尼維斯	1	5922"
"金屬製品製造業	巴拉圭	1	6904"
"食品製造業	瓜地馬拉	3	6914"
"紡織業	瓜地馬拉	1	7000"
"電力設備製造業	貝里斯	4	7190"
"成衣及服飾品製造業	海地	1	8100"
"塑膠製品製造業	瓜地馬拉	1	8500"
"紡織業	宏都拉斯	4	8552"
"製造業	海地	3	11000"
"合計	海地	4	11050"
"紡織業	尼加拉瓜	1	13000"
"製造業	宏都拉斯	14	14706"
"批發及零售業	貝里斯	18	15959"
"製造業	瓜地馬拉	6	22474"
"金融及保險業	馬紹爾群島	1	22626"
"批發及零售業	尼加拉瓜	3	22832"
"合計	瓜地馬拉	8	22874"
"合計	宏都拉斯	19	24338"
"製造業	貝里斯	18	25011"
"金融及保險業	貝里斯	6	26839"
"製造業	巴拉圭	11	28503"
"紡織業	史瓦濟蘭	9	29333"
"成衣及服飾品製造業	史瓦濟蘭	20	30319"
"合計	巴拉圭	15	39670"
"住宿及餐飲業	帛琉	3	51000"
"合計	帛琉	4	52000"
"製造業	史瓦濟蘭	32	62206"
"合計	史瓦濟蘭	35	64706"
"合計	貝里斯	44	69048"
"成衣及服飾品製造業	尼加拉瓜	18	93158"
"資訊及通訊傳播業	馬紹爾群島	1	99077"
"製造業	尼加拉瓜	20	106958"
"合計	馬紹爾群島	2	121703"
"合計	尼加拉瓜	31	145021"
