巴拉圭-金屬製品製造業,1,6904
瓜地馬拉-食品製造業,3,6914
瓜地馬拉-紡織業,1,7000
貝里斯-電力設備製造業,4,7190
海地-成衣及服飾品製造業,1,8100
瓜地馬拉-塑膠製品製造業,1,8500
宏都拉斯-紡織業,4,8552
海地-製造業,3,11000
海地-合計,4,11050
尼加拉瓜-紡織業,1,13000
宏都拉斯-製造業,14,14706
貝里斯-批發及零售業,18,15959
瓜地馬拉-製造業,6,22474
馬紹爾群島-金融及保險業,1,22626
尼加拉瓜-批發及零售業,3,22832
瓜地馬拉-合計,8,22874
宏都拉斯-合計,19,24338
貝里斯-製造業,18,25011
貝里斯-金融及保險業,6,26839
巴拉圭-製造業,11,28503
史瓦濟蘭-紡織業,9,29333
史瓦濟蘭-成衣及服飾品製造業,20,30319
巴拉圭-合計,15,39670
帛琉-住宿及餐飲業,3,51000
帛琉-合計,4,52000
史瓦濟蘭-製造業,32,62206
史瓦濟蘭-合計,35,64706
貝里斯-合計,44,69048
尼加拉瓜-成衣及服飾品製造業,18,93158
馬紹爾群島-資訊及通訊傳播業,1,99077
尼加拉瓜-製造業,20,106958
馬紹爾群島-合計,2,121703
尼加拉瓜-合計,31,145021
